type,from,to,coef,intercept
transshipment,RDC003,FDC003,3.5,256.1
fulfillment,FDC003,Region005,1.9,6.7
fulfillment,FDC003,Region002,2.9,8
fulfillment,FDC003,Region008,3.9,8.4
fulfillment,FDC003,Region011,7.8,9.8
fulfillment,FDC003,Region014,2.9,8
fulfillment,FDC003,Region012,1.9,6.7
fulfillment,FDC003,Region004,4.9,8.7
fulfillment,FDC003,Region001,3.9,8.4
fulfillment,FDC003,Region003,9.7,16.4
fulfillment,FDC003,Region010,7.8,9.8
fulfillment,FDC003,Region013,7.5,11.2
fulfillment,FDC003,Region006,9.7,16.4
fulfillment,FDC003,Region009,4.9,8.7
fulfillment,FDC003,Region007,9.7,16.4
fulfillment,RDC003,Region005,3.9,8.4
fulfillment,RDC003,Region002,9.2,22.4
fulfillment,RDC003,Region008,6.3,10.4
fulfillment,RDC003,Region011,9.2,22.4
fulfillment,RDC003,Region014,12.7,14.5
fulfillment,RDC003,Region012,12.7,14.5
fulfillment,RDC003,Region004,13.6,13.8
fulfillment,RDC003,Region001,13.6,13.8
fulfillment,RDC003,Region003,13.6,13.8
fulfillment,RDC003,Region010,9.7,10.4
fulfillment,RDC003,Region013,8.2,22.4
fulfillment,RDC003,Region006,12.7,14.5
fulfillment,RDC003,Region009,5.8,8.1
fulfillment,RDC003,Region007,9.2,22.4
